Year,Housing Charge Increase,Accumulated Rental Inflation (Project),Accumulated Rental Inflation (BC Rent Increase),Accumulated Rental Inflation (Market Inflation)
1,3.00%,110,100,100
2,3.00%,113.3,103,104
3,3.00%,116.7,106.09,108.16
4,3.00%,120.2,109.27,112.49
5,3.00%,123.81,112.55,116.99
6,2.75%,127.21,115.93,121.67
7,2.75%,130.71,119.41,126.53
8,2.75%,134.3,122.99,131.59
9,2.75%,138,126.68,136.86
10,2.75%,141.79,130.48,142.33
11,2.25%,144.98,134.39,148.02
12,2.25%,148.24,138.42,153.95
13,2.25%,151.58,142.58,160.1
14,2.25%,154.99,146.85,166.51
15,2.25%,158.48,151.26,173.17
16,2.50%,162.44,155.8,180.09
17,2.50%,166.5,160.47,187.3
18,2.50%,170.66,165.28,194.79
19,2.50%,174.93,170.24,202.58
20,2.50%,179.3,175.35,210.68
21,2.00%,182.89,180.61,219.11
22,2.00%,186.55,186.03,227.88
23,2.00%,190.28,191.61,236.99
24,2.00%,194.08,197.36,246.47
25,2.00%,197.96,203.28,256.33
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,