Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
  Effective Residential Gross Income," $5,092,659 "," $5,245,439 "," $5,402,802 "," $5,564,886 "," $5,731,833 "," $5,889,458 "," $6,051,418 "," $6,217,832 "," $6,388,822 "," $6,564,515 "," $6,712,217 "," $6,863,242 "," $7,017,664 "," $7,175,562 "," $7,337,012 "," $7,483,752 "," $7,633,427 "," $7,786,096 "," $7,941,818 "," $8,100,654 "," $8,262,667 "," $8,427,921 "," $8,596,479 "," $8,768,409 "," $8,943,777 "
Housing Charge Increase,3.00%,3.00%,3.00%,3.00%,3.00%,2.75%,2.75%,2.75%,2.75%,2.75%,2.25%,2.25%,2.25%,2.25%,2.25%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%
Accumulated Rental Inflation (Project),110,113.30,116.70,120.20,123.81,127.21,130.71,134.30,138.00,141.79,144.98,148.24,151.58,154.99,158.48,161.65,164.88,168.18,171.54,174.97,178.47,182.04,185.68,189.40,193.18
Accumulated Rental Inflation (BC Rent Increase),100,103.00,106.09,109.27,112.55,115.93,119.41,122.99,126.68,130.48,134.39,138.42,142.58,146.85,151.26,155.80,160.47,165.28,170.24,175.35,180.61,186.03,191.61,197.36,203.28
Accumulated Rental Inflation (Market Inflation),100,104.00,108.16,112.49,116.99,121.67,126.53,131.59,136.86,142.33,148.02,153.95,160.10,166.51,173.17,180.09,187.30,194.79,202.58,210.68,219.11,227.88,236.99,246.47,256.33
  Total Operating Costs,"$741,751.99","$759,554.03","$777,783.33","$796,450.13","$815,564.93","$835,138.49","$855,181.82","$875,706.18","$896,723.13","$918,244.48","$940,282.35","$962,849.13","$985,957.51","$1,009,620.49","$1,033,851.38","$1,058,663.81","$1,084,071.74","$1,110,089.47","$1,136,731.61","$1,164,013.17","$1,191,949.49","$1,220,556.28","$1,249,849.63","$1,279,846.02","$1,310,562.32"
Net Operating Income,"$4,350,907.01","$4,485,884.74","$4,625,018.60","$4,768,435.86","$4,916,267.64","$5,054,319.47","$5,196,236.24","$5,342,125.88","$5,492,099.31","$5,646,270.57","$5,771,934.29","$5,900,392.39","$6,031,706.95","$6,165,941.42","$6,303,160.67","$6,425,088.48","$6,549,355.59","$6,676,006.41","$6,805,086.18","$6,936,640.98","$7,070,717.75","$7,207,364.31","$7,346,629.37","$7,488,562.56","$7,633,214.42"
Total Debt Service Cost,"$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01","$4,350,907.01"
Principal Paid,"$415,017","$435,177","$456,316","$478,482","$501,725","$526,097","$551,653","$578,450","$606,548","$636,012","$666,907","$699,303","$733,272","$768,892","$806,241","$845,405","$886,472","$929,533","$974,686","$1,022,032","$1,071,678","$1,123,736","$1,178,323","$1,235,561","$1,295,580"
Interest Paid,"$3,935,890","$3,915,730","$3,894,591","$3,872,425","$3,849,182","$3,824,810","$3,799,254","$3,772,457","$3,744,359","$3,714,895","$3,684,000","$3,651,604","$3,617,635","$3,582,016","$3,544,666","$3,505,502","$3,464,435","$3,421,374","$3,376,221","$3,328,875","$3,279,229","$3,227,171","$3,172,584","$3,115,346","$3,055,327"
Loan Balance at Start of Year,"$83,002,485.00","$82,587,468.13","$82,152,290.96","$81,695,974.62","$81,217,492.26","$80,715,767.14","$80,189,670.21","$79,638,017.61","$79,059,567.92","$78,453,019.47","$77,817,007.32","$77,150,100.24","$76,450,797.48","$75,717,525.39","$74,948,633.88","$74,142,392.70","$73,296,987.54","$72,410,515.98","$71,480,983.17","$70,506,297.39","$69,484,265.26","$68,412,586.91","$67,288,850.70","$66,110,527.89","$64,874,966.86"
Surplus for the Year,$0.00,"$134,977.72","$274,111.59","$417,528.85","$565,360.62","$703,412.46","$845,329.23","$991,218.86","$1,141,192.30","$1,295,363.56","$1,421,027.28","$1,549,485.38","$1,680,799.93","$1,815,034.40","$1,952,253.65","$2,074,181.46","$2,198,448.58","$2,325,099.40","$2,454,179.17","$2,585,733.97","$2,719,810.74","$2,856,457.29","$2,995,722.35","$3,137,655.54","$3,282,307.41"
Accumulated Surplus,$0.00,"$134,977.72","$409,089.31","$826,618.16","$1,391,978.78","$2,095,391.24","$2,940,720.47","$3,931,939.34","$5,073,131.63","$6,368,495.19","$7,789,522.47","$9,339,007.85","$11,019,807.78","$12,834,842.19","$14,787,095.84","$16,861,277.30","$19,059,725.88","$21,384,825.28","$23,839,004.45","$26,424,738.42","$29,144,549.16","$32,001,006.45","$34,996,728.80","$38,134,384.35","$41,416,691.76"
Surplus Fund Invested at Risk Free Rate,$0.00,"$134,977.72","$413,813.53","$845,825.85","$1,440,790.38","$2,194,630.50","$3,116,771.80","$4,217,077.68","$5,505,867.69","$6,993,936.62","$8,659,751.68","$10,512,328.37","$12,561,059.80","$14,815,731.29","$17,286,535.54","$19,965,745.75","$22,862,995.43","$25,988,299.67","$29,352,069.33","$32,965,125.72","$36,838,715.86","$40,984,528.21","$45,414,709.05","$50,141,879.41","$55,179,152.60"
Ratio of Invested Surplus to Invested Equity Gap,0.00%,0.65%,1.93%,3.81%,6.28%,9.24%,12.68%,16.57%,20.91%,25.66%,30.70%,36.01%,41.57%,47.37%,53.40%,59.59%,65.93%,72.41%,79.02%,85.75%,92.58%,99.52%,106.54%,113.66%,120.85%
Accumulated Principal Paid,"$415,017","$850,194","$1,306,511","$1,784,993","$2,286,718","$2,812,815","$3,364,468","$3,942,918","$4,549,466","$5,185,478","$5,852,385","$6,551,688","$7,284,960","$8,053,852","$8,860,093","$9,705,498","$10,591,969","$11,521,502","$12,496,188","$13,518,220","$14,589,899","$15,713,635","$16,891,958","$18,127,519","$19,423,098"
Reserve Contribution,"$203,706","$209,818","$216,112","$222,595","$229,273","$235,578","$242,057","$248,713","$255,553","$262,581","$268,489","$274,530","$280,707","$287,022","$293,480","$299,350","$305,337","$311,444","$317,673","$324,026","$330,507","$337,117","$343,859","$350,736","$357,751"
Risk Free Return on Accumulated Reserve Fund,"$203,706","$420,654","$651,489","$896,886","$1,157,550","$1,433,643","$1,725,877","$2,034,996","$2,361,774","$2,707,017","$3,070,251","$3,452,239","$3,853,774","$4,275,679","$4,718,808","$5,183,317","$5,670,070","$6,179,966","$6,713,938","$7,272,952","$7,858,011","$8,470,159","$9,110,473","$9,780,076","$10,480,130"
Accumulated Reserve,"$203,706","$413,524","$629,636","$852,231","$1,081,505","$1,317,083","$1,559,140","$1,807,853","$2,063,406","$2,325,987","$2,594,475","$2,869,005","$3,149,711","$3,436,734","$3,730,214","$4,029,565","$4,334,902","$4,646,345","$4,964,018","$5,288,044","$5,618,551","$5,955,668","$6,299,527","$6,650,263","$7,008,014"
Real Value of Equity Gap,"$19,997,515","$20,477,455","$20,968,914","$21,472,168","$21,987,500","$22,515,200","$23,055,565","$23,608,899","$24,175,512","$24,755,725","$25,349,862","$25,958,259","$26,581,257","$27,219,207","$27,872,468","$28,541,407","$29,226,401","$29,927,835","$30,646,103","$31,381,609","$32,134,768","$32,906,002","$33,695,746","$34,504,444","$35,332,551"
Equity Gap Invested at Risk Free Rate,"$19,997,515","$20,697,428","$21,421,838","$22,171,602","$22,947,608","$23,750,775","$24,582,052","$25,442,424","$26,332,908","$27,254,560","$28,208,470","$29,195,766","$30,217,618","$31,275,235","$32,369,868","$33,502,813","$34,675,412","$35,889,051","$37,145,168","$38,445,249","$39,790,833","$41,183,512","$42,624,935","$44,116,807","$45,660,896"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Editable Parameters,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Charge Increase Years 1-5,3.00%,,,,,,,,,,,,,,,,,,,,,,,,
Housing Charge Increase Years 6-10,2.75%,,,,,,,,,,,,,,,,,,,,,,,,
Housing Charge Increase Years 10-15,2.25%,,,,,,,,,,,,,,,,,,,,,,,,
Housing Charge Increase Years 15-20,2.00%,,,,,,,,,,,,,,,,,,,,,,,,
Housing Charge Increase Years 20-25,2.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  Fixed Parameters,,,,,,,,,,,,,,,,,,,,,,,,,
Benchmark Inflation,2.40%,,,,,,,,,,,,,,,,,,,,,,,,
Risk Free Rate,3.50%,,,,,,,,,,,,,,,,,,,,,,,,
Median Household Income Esitmate (1 Person),"$49,539.60",*StatsCan Figure for 2020 plus 5 years of Growth at 2.4%,,,,,,,,,,,,,,,,,,,,,,,
Median Household Income Estimate (2 or more),"$109,212.29",*StatsCan Figure for 2020 plus 5 years of Growth at 2.4%,,,,,,,,,,,,,,,,,,,,,,,
Affordability Ratio Lower Bound (Rent/Gross Income),0.25,,,,,,,,,,,,,,,,,,,,,0.950332638,,,
Affordability Ratio Upper Bound (Rent/Gross Income),0.35,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Day 1 Rent (Single Person Household),"$1,238.49",,,,,,,,,,,,,,,,,,,,,,,,
Affordable Day 1 Rent (Two or More Person Household),"$2,730.31",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Summary Results,,,,,,,,,,,,,,,,,,,,,,0.753648596,,,
Housing Charge Inflation Index,193.18,,,,,,,,,,,,,,,,,,,,,0.793036634,,,
Surplus Fund at End of Year 25,"$55,179,152.60",,,,,,,,,,,,,,,,,,,,,,,,
Total Reserve at end of Year 25,"$10,480,130.09",,,,,,,,,,,,,,,,,,,,,,,,
Accumulated Equity at Year 25,"$19,423,098.20",,,,,,,,,,,,,,,,,,,,,,,,
Remaining Loan Balance at Year 25,"$63,579,386.80",,,,,,,,,,,,,,,,,,,,,,,,
25 Year Return on Equity Gap,275.93%,,,,,,,,,,,,,,,,,,,,,,,,
Annualized Return on Equity Gap,5.44%,,,,,,,,,,,,,,,,,,,,,,,,